[0.0]: [Tutorial]Tutorial Scene started
[43.377739]: [Cutting]Cuttable_Bread was cut
[44.246281]: [Cutting]Cuttable_Bread was cut
[45.078609]: [Cutting]Cuttable_Bread was cut
[45.89151]: [Cutting]Cuttable_Bread was cut
[46.822487]: [Cutting]Cuttable_Bread was cut
[47.94796]: [Cutting]Cuttable_Bread was cut
[48.904221]: [Cutting]Cuttable_Bread was cut
[51.723213]: [Cutting]Cuttable_Bread was cut
[54.661015]: [Cutting]Cuttable_Bread was cut
[57.05159]: [Cutting]Cuttable_Bread was cut
[58.411694]: [Cutting]Cuttable_Bread was cut
[59.436996]: [Cutting]Cuttable_Bread was cut
[60.279282]: [Cutting]Cuttable_Bread was cut
[61.243973]: [Cutting]Cuttable_Bread was cut
[69.970802]: [Cutting]Knife and Bread resetted
[72.876312]: [Cutting]Cuttable_Bread was cut
[74.943398]: [Cutting]Cuttable_Bread was cut
[75.721359]: [Cutting]Cuttable_Bread was cut
[77.061516]: [Cutting]Cuttable_Bread was cut
[77.767502]: [Cutting]Cuttable_Bread was cut
[78.38308]: [Cutting]Cuttable_Bread was cut
[79.134941]: [Cutting]Cuttable_Bread was cut
[79.770912]: [Cutting]Cuttable_Bread was cut
[80.441612]: [Cutting]Cuttable_Bread was cut
[81.010384]: [Cutting]Cuttable_Bread was cut
[86.777748]: [Cutting]Knife and Bread resetted
[89.0868]: [Cutting]Cuttable_Bread was cut
[89.711586]: [Cutting]Cuttable_Bread was cut
[90.321259]: [Cutting]Cuttable_Bread was cut
[91.134926]: [Cutting]Cuttable_Bread was cut
