File,Target 1,Target 2,Target 3,Target 4,Target 5,Target 6,Mean_Distance_To_Center,fails
File 1 Pointing_Rating_Scene_2024-01-08_09-28-13.log,37.51474,2.5893779999999964,1.8891149999999968,2.3213460000000055,1.4221760000000003,1.411797,8.184856166666666,0
File 3 Pointing_Rating_Scene_2024-01-08_09-46-42.log,6.288096000000003,2.0694309999999945,1.4878120000000052,1.8881000000000014,1.4668959999999984,1.5207709999999963,8.177167833333334,0
File 4 Pointing_Rating_Scene_2024-01-08_09-59-50.log,2.3676119999999994,1.1666589999999992,1.2559470000000026,1.3989589999999978,1.324352000000001,2.4532789999999984,7.572207333333334,0
File 5 Pointing_Rating_Scene_2024-01-08_10-05-22.log,32.356212,1.4872589999999946,2.256561000000005,1.5653229999999994,1.9004479999999973,1.8889770000000041,11.383937333333334,0
File 11 Pointing_Rating_Scene_2024-01-15_09-59-24.log,2.6761510000000044,1.5244519999999966,1.4341319999999982,1.5659940000000034,1.623272,1.754996999999996,9.682842833333334,0
File 13 Pointing_Rating_Scene_2024-01-15_10-01-22.log,1.5548610000000025,1.2332439999999991,1.2999399999999994,1.1772390000000001,1.0104790000000001,1.2009730000000012,8.335253333333334,0
File 14 Pointing_Rating_Scene_2024-01-15_10-02-04.log,1.8003289999999996,1.9331420000000001,1.3341189999999994,1.166341000000001,0.9995030000000007,0.9333069999999992,10.430464166666665,0
File 21 Pointing_Rating_Scene_2024-01-15_15-40-06.log,4.247377999999999,2.976954000000001,2.7329349999999977,2.622099000000002,3.2575319999999977,2.4891130000000032,6.6570893333333325,2
File 24 Pointing_Rating_Scene_2024-03-14_14-26-38.log,8.649899000000005,5.138168,2.891975000000002,31.20082099999999,11.279824000000005,2.9103920000000016,7.913152833333332,1
File 29 Pointing_Rating_Scene_2024-04-02_13-51-17.log,10.107352999999996,6.133267000000004,4.058315,9.164734000000003,30.730227999999997,12.300140999999996,11.6739035,1
File 35 Pointing_Rating_Scene_2024-04-04_16-14-37.log,7.182442000000002,22.11417399999999,10.249168000000012,28.188339,10.756850999999983,14.198914000000002,3.7317935,4
File 36 Pointing_Rating_Scene_2024-04-04_17-14-55.log,9.199005,3.0992360000000048,2.158705999999995,1.8328100000000092,4.8574139999999915,2.383560000000003,11.138120666666666,0
